Test Case,Associativity,Total Time (ns),Total Energy (pJ),Avg Time per Mem Operation (ns),L1 Total Energy (pJ),L1i Dynamic Energy (pJ),L1i Hits,L1i Misses,L1d Dynamic Energy (pJ),L1d Hits,L1d Misses,L2 Energy (pJ),L2 Hits,L2 Misses,DRAM Energy (pJ)
Spec_Benchmark/085.gcc.din,2,1695834.5,1097917250.0,1.6958345,1097917250.0,389757500.0,710607,68908,110242500.0,209442,11043,2289747510.0,144422,11029,3127498960.0
Spec_Benchmark/085.gcc.din,4,1483164.5,991582250.0,1.4831645,991582250.0,389757500.0,710607,68908,110242500.0,209442,11043,2119611510.0,149148,6303,2198709520.0
Spec_Benchmark/085.gcc.din,8,1446669.5,973334750.0,1.4466695,973334750.0,389757500.0,710607,68908,110242500.0,209442,11043,2090415510.0,149959,5492,2039495600.0
Spec_Benchmark/089.su2cor.din,2,1558742.0,1029371000.0,1.558742,1029371000.0,368590500.0,729488,7693,131409500.0,202555,60264,2157584785.0,143382,8354,2587282240.0
Spec_Benchmark/089.su2cor.din,4,1537772.0,1018886000.0,1.537772,1018886000.0,368590500.0,729488,7693,131409500.0,202555,60264,2140808785.0,143848,7888,2496510720.0
Spec_Benchmark/089.su2cor.din,8,1545962.0,1022981000.0,1.545962,1022981000.0,368590500.0,729488,7693,131409500.0,202555,60264,2147360785.0,143666,8070,2532846400.0
Spec_Benchmark/090.hydro2d.din,2,2343996.5,1421998250.0,2.3439965,1421998250.0,374344000.0,744174,4514,125656000.0,200626,50686,2599679410.0,91811,28906,6514912400.0
Spec_Benchmark/090.hydro2d.din,4,2321496.5,1410748250.0,2.3214965,1410748250.0,374344000.0,744174,4514,125656000.0,200626,50686,2581679410.0,92311,28406,6417174160.0
Spec_Benchmark/090.hydro2d.din,8,2290401.5,1395200750.0,2.2904015,1395200750.0,374344000.0,744174,4514,125656000.0,200626,50686,2556803410.0,93002,27715,6282108080.0
Spec_Benchmark/093.nasa7.din,2,918153.5,709076750.0,0.9181535,709076750.0,401485500.0,801654,1317,98514500.0,186757,10272,1220068850.0,79723,1200,927122480.0
Spec_Benchmark/093.nasa7.din,4,905958.5,702979250.0,0.9059585,702979250.0,401485500.0,801654,1317,98514500.0,186757,10272,1210312850.0,79994,929,874001360.0
Spec_Benchmark/093.nasa7.din,8,905913.5,702956750.0,0.9059135,702956750.0,401485500.0,801654,1317,98514500.0,186757,10272,1210276850.0,79995,928,873804720.0
Spec_Benchmark/094.fpppp.din,2,1502460.5,1001230250.0,1.5024605,1001230250.0,350250000.0,655561,44939,149750000.0,278755,20745,2119582650.0,145901,6988,2324142480.0
Spec_Benchmark/094.fpppp.din,4,1425510.5,962755250.0,1.4255105,962755250.0,350250000.0,655561,44939,149750000.0,278755,20745,2058022650.0,147611,5278,1988238800.0
Spec_Benchmark/094.fpppp.din,8,1423170.5,961585250.0,1.4231705,961585250.0,350250000.0,655561,44939,149750000.0,278755,20745,2056150650.0,147663,5226,1978032720.0
